JQID,STATUS,AGENCY,LINE,NAME,Type,Year,LATITUDE,LONGITUDE,Pre 1970,ZIP,ZIP_NAME,STATE,POP2010
1756,Existing Transit,Metro-North Railroad,Hudson,Manitou,c,,41.335181,-73.967328,,10524,Garrison,NY,4564
1797,Existing Transit,Metro-North Railroad,Waterbury,Derby,c,,41.319718,-73.083548,,06418,Derby,CT,12404
1798,Existing Transit,Metro-North Railroad,Waterbury,Naugatuck,c,,41.494204,-73.052655,,06770,Naugatuck,CT,31561
1799,Existing Transit,Metro-North Railroad,Waterbury,Seymour,c,,41.395139,-73.072499,,06483,Seymour,CT,16224
1800,Existing Transit,Metro-North Railroad,Waterbury,Waterbury,c,,41.552728,-73.046126,,06702,Waterbury,CT,4246
1801,Existing Transit,Metro St. Louis,MetroLink(Metrolink),5TH & MISSOURI METROLINK STATION,,1993,38.625088,-90.159346,,62201,East Saint Louis,IL,8893
1802,Existing Transit,Metro St. Louis,MetroLink(Metrolink),8TH AND PINE METROLINK STATION,,1993,38.627979,-90.192665,,63101,Saint Louis,MO,1145
1803,Existing Transit,Metro St. Louis,MetroLink(Metrolink),ARCH LACLEDES METROLINK STATION,,1993,38.629484,-90.18355,,63102,Saint Louis,MO,1628
1804,Existing Transit,Metro St. Louis,MetroLink(Metrolink),BELLEVILLE METROLINK STATION,,2001,38.521823,-89.974368,,62220,Belleville,IL,19125
1875,Existing Transit,Miami Dade Transit,METROMOVER OMNI/BRICKELL OUTER LOOP,Eleventh Street Station,p,1994,25.784866,-80.19079,,33132,Miami,FL,9943
1876,Existing Transit,Miami Dade Transit,METROMOVER OMNI/BRICKELL OUTER LOOP,Fifth Street Station,p,1994,25.769165,-80.192248,,33131,Miami,FL,10148
1877,Existing Transit,Miami Dade Transit,METROMOVER OMNI/BRICKELL OUTER LOOP,Financial District Station,p,1994,25.760381,-80.192881,,33131,Miami,FL,10148
1878,Existing Transit,Miami Dade Transit,METROMOVER OMNI/BRICKELL OUTER LOOP,First Street Station,p,1986,25.775726,-80.189849,,33132,Miami,FL,9943
1913,Existing Transit,MTA,14 St-Canarsie Local(L),1 Av,,1950,40.730953,-73.981628,1,10009,New York,NY,62046
1914,Existing Transit,MTA,14 St-Canarsie Local(L),3 Av,,1950,40.732849,-73.986122,1,10003,New York,NY,55889
1915,Existing Transit,MTA,14 St-Canarsie Local(L),6 Av,,1950,40.737335,-73.996786,1,10011,New York,NY,50587
1916,Existing Transit,MTA,14 St-Canarsie Local(L),8 Av,,1950,40.739777,-74.002578,1,10014,New York,NY,32446
2443,Existing Transit,MTS,Orange Line,Convention Center Station,,1990,32.7090643,-117.1635644,,92101,San Diego,CA,32802
2444,Existing Transit,MTS,Orange Line,Encanto/62nd St Station,,1989,32.7101103,-117.0636456,,92114,San Diego,CA,67369
2445,Existing Transit,MTS,Orange Line,Euclid Trolley Station,,1986,32.7096184,-117.0862452,,92102,San Diego,CA,47207
2446,Existing Transit,MTS,Orange Line,Gaslamp Quarter Station,,1990,32.7068243,-117.1594743,,92101,San Diego,CA,32802
2521,Existing Transit,NJ TRANSIT RAIL,Hudson-Bergen Light Rail,PORT IMPERIAL HBLR STATION,c,,40.775919,-74.012921,,07086,Weehawken,NJ,12828
2522,Existing Transit,NJ TRANSIT RAIL,Hudson-Bergen Light Rail,RICHARD STREET HBLR STATION,c,,40.699118,-74.078643,,07305,Jersey City,NJ,59099
2523,Existing Transit,NJ TRANSIT RAIL,Hudson-Bergen Light Rail,TONNELLE AVE HBLR STATION,c,,40.78733,-74.031263,,07047,North Bergen,NJ,56911
