User,Segment ID,description,start_lat,start_lng,end_lat,end_lng,Meta.1,Meta.1_impediment,Meta.2,Meta.2_impediment,Meta.6,Meta.6_impediment,Meta.7,Meta.7_impediment,PEDS.3,PEDS.3_impediment,Minn-Irvine.9,Minn-Irvine.9_impediment,PEDS.23.2,PEDS.23.2_impediment,Minn-Irvine.2,Minn-Irvine.2_impediment,Minn-Irvine.4,Minn-Irvine.4_impediment,PEDS.23.4,PEDS.23.4_impediment,PEDS.23.3,PEDS.23.3_impediment,Minn-Irvine.8,Minn-Irvine.8_impediment,Minn-Irvine.21,Minn-Irvine.21_impediment,PEDS.14,PEDS.14_impediment,Minn-Irvine.151,Minn-Irvine.151_impediment,PEDS.19,PEDS.19_impediment,Minn-Irvine.108,Minn-Irvine.108_impediment,Minn-Irvine.123,Minn-Irvine.123_impediment,PEDS.24.1,PEDS.24.1_impediment,PEDS.4.1,PEDS.4.1_impediment,PEDS.12,PEDS.12_impediment,PEDS.6,PEDS.6_impediment,PEDS.9,PEDS.9_impediment,PEDS.8.2,PEDS.8.2_impediment,PEDS.35,PEDS.35_impediment,Minn-Irvine.159,Minn-Irvine.159_impediment,Minn-Irvine.178,Minn-Irvine.178_impediment,CCAHS.2,CCAHS.2_impediment,CCAHS.4,CCAHS.4_impediment,CCAHS.5,CCAHS.5_impediment,CCAHS.8,CCAHS.8_impediment,CCAHS.9,CCAHS.9_impediment,PEDS.1.4,PEDS.1.4_impediment,PEDS.1.5,PEDS.1.5_impediment,PEDS.1.6,PEDS.1.6_impediment,PEDS.1.7,PEDS.1.7_impediment,PEDS.1.8,PEDS.1.8_impediment,Minn-Irvine.33,Minn-Irvine.33_impediment,Minn-Irvine.34,Minn-Irvine.34_impediment,Minn-Irvine.127,Minn-Irvine.127_impediment,Minn-Irvine.132,Minn-Irvine.132_impediment,MIUDQ.10,MIUDQ.10_impediment,PEDS.33,PEDS.33_impediment,Minn-Irvine.130,Minn-Irvine.130_impediment,Minn-Irvine.22,Minn-Irvine.22_impediment,Minn-Irvine.17,Minn-Irvine.17_impediment,Minn-Irvine.119,Minn-Irvine.119_impediment,Minn-Irvine.120,Minn-Irvine.120_impediment,MIUDQ.18,MIUDQ.18_impediment,PEDS.26.1,PEDS.26.1_impediment,PEDS.2,PEDS.2_impediment,PEDS.28,PEDS.28_impediment,PHDCN.1,PHDCN.1_impediment,PHDCN.2,PHDCN.2_impediment,PHDCN.3,PHDCN.3_impediment,PHDCN.4,PHDCN.4_impediment,PHDCN.5,PHDCN.5_impediment,PHDCN.6,PHDCN.6_impediment,PHDCN.7,PHDCN.7_impediment
19,415,"   5932 Carpenter Street, Philadelphia, Pennsylvania",39.948429,-75.241562,39.948669,-75.243513,17,,0,,1,,0,,0,,1,,1,,1,,2,,1,,1,,0,,1,,2,,0,,1,,0,,1,,1,,1,,0,,0,,0,,0,,3,,1,,0,,1,,0,,1,,0,,1,,1,,1,,1,,1,,1,,1,,1,,2,,1,,15,,1,,1,,1,,1,,1,,0,,1,,1,,0,,1,,1,,1,,1,,1,,1,,1,,1,
20,415,"   5932 Carpenter Street, Philadelphia, Pennsylvania",39.948429,-75.241562,39.948669,-75.243513,16,,11,,1,,0,,0,,1,,1,,1,,2,,1,,1,,0,,1,,2,,0,,1,,0,,1,,1,,1,,0,,0,,0,,0,,3,,1,,0,,1,,1,,1,,0,,0,,1,,1,,1,,1,,1,,1,,1,,2,,1,,5,,1,,1,,1,,1,,1,,1,,1,,1,,0,,1,,0,,1,,1,,1,,1,,1,,1,
21,415,"   5932 Carpenter Street, Philadelphia, Pennsylvania",39.948429,-75.241562,39.948669,-75.243513,17,,10,,1,,0,,0,,1,,1,,1,,2,,1,,1,,0,,1,,1,,0,,1,,0,,1,,1,,1,,0,,1,,0,,0,,3,,1,,0,,1,,-1,,1,,0,,1,,1,,0,,1,,1,,1,,1,,1,,2,,1,,10,,1,,1,,1,,1,,1,,1,,0,,1,,0,,1,,0,,1,,1,,1,,1,,1,,1,
22,415,"   5932 Carpenter Street, Philadelphia, Pennsylvania",39.948429,-75.241562,39.948669,-75.243513,17,,7,,1,,0,,0,,1,,1,,1,,2,,1,,1,,0,,1,,1,,0,,1,,0,,1,,1,,1,,0,,1,,0,,0,,2,,1,,0,,1,,0,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,0,,2,,1,,1,,1,,1,,1,,1,,1,,0,,1,,0,,1,,0,,1,,1,,1,,1,
23,415,"   5932 Carpenter Street, Philadelphia, Pennsylvania",39.948429,-75.241562,39.948669,-75.243513,17,,4,,1,,0,,0,,1,,1,,1,,2,,1,,1,,0,,1,,1,,0,,1,,0,,1,,1,,1,,0,,2,,0,,0,,3,,1,,0,,1,,0,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,1,,10,,1,,0,,1,,1,,1,,1,,0,,1,,0,,1,,0,,1,,0,,1,,2,,1,,1,
21,416,"   5638 Montrose Street, Philadelphia, Pennsylvania",39.94792,-75.235605,39.948166,-75.237589,15,,6,,0,,0,,0,,4,,1,,1,,0,,1,,1,,0,,0,,1,,0,,1,,0,,1,,1,,1,,0,,1,,0,,1,,3,,1,,0,,1,,1,,1,,0,,1,,1,,1,,1,,1,,1,,1,,1,,2,,0,,100,,0,,0,,1,,1,,1,,1,,1,,1,,0,,0,,0,,1,,1,,1,,2,,1,,1,
23,417,"   5317 Angora Terrace, Philadelphia, Pennsylvania",39.946636,-75.233707,39.946912,-75.2299,30,,7,,0,,0,,1,,1,,1,,0,,0,,1,,1,,0,,0,,1,,0,,1,,0,,1,,1,,1,,0,,1,,0,,0,,3,,1,,0,,1,,1,,0,,1,,1,,1,,1,,1,,0,,1,,1,,1,,2,,1,,0,,2,,1,,1,,1,,1,,0,,0,,1,,1,,0,,0,,1,,1,,1,,1,,1,,0,
21,418,"   5155 Pentridge Street, Philadelphia, Pennsylvania",39.946284,-75.223614,39.945491,-75.224762,11,,1,,0,,0,,1,,1,,1,,2,,-2,,1,,1,,0,,0,,1,,0,,1,,0,,1,,1,,1,,0,,2,,0,,1,,3,,0,,0,,1,,1,,0,,1,,1,,1,,1,,0,,0,,1,,1,,1,,2,,1,,20,,1,,1,,1,,1,,1,,1,,1,,1,,2,,0,,0,,1,,0,,0,,3,,1,,0,
19,419,"    941 South Saint Bernard Street, Philadelphia, Pennsylvania",39.944696,-75.218441,39.945898,-75.219793,16,,4,,0,,0,,1,,4,,1,,2,,-2,,1,,1,,0,,0,,1,,0,,1,,0,,1,,1,,1,,0,,2,,1,,0,,3,,1,,0,,1,,1,,0,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,0,,1,,1,,1,,1,,1,,0,,1,,1,,0,,1,,0,,1,,0,,1,,2,,1,,1,
20,419,"    941 South Saint Bernard Street, Philadelphia, Pennsylvania",39.944696,-75.218441,39.945898,-75.219793,16,,9,,0,,0,,1,,4,,1,,1,,0,,1,,1,,0,,0,,1,,0,,1,,0,,1,,1,,1,,0,,2,,1,,0,,3,,1,,1,,1,,1,,0,,1,,1,,1,,1,,1,,0,,1,,1,,1,,1,,1,,30,,1,,0,,1,,1,,1,,1,,0,,1,,0,,1,,0,,1,,1,,1,,1,,1,,1,
